id_county,age_group,gender,population,total_population_county
8111,A00-A04,Female,13379,585890
8111,A00-A04,Male,13876,585890
8111,A05-A14,Female,23824,585890
8111,A05-A14,Male,25022,585890
8111,A15-A34,Female,83798,585890
8111,A15-A34,Male,84875,585890
8111,A35-A59,Female,98820,585890
8111,A35-A59,Male,102480,585890
8111,A60-A79,Female,59204,585890
8111,A60-A79,Male,51698,585890
8111,A80+,Female,19780,585890
8111,A80+,Male,9134,585890
8115,A00-A04,Female,8257,363949
8115,A00-A04,Male,8605,363949
8115,A05-A14,Female,18270,363949
8115,A05-A14,Male,19770,363949
8115,A15-A34,Female,41581,363949
8115,A15-A34,Male,41700,363949
8115,A35-A59,Female,67506,363949
8115,A35-A59,Male,67795,363949
8115,A60-A79,Female,38898,363949
8115,A60-A79,Male,35032,363949
8115,A80+,Female,10727,363949
8115,A80+,Male,5808,363949
8116,A00-A04,Female,10842,502893
8116,A00-A04,Male,11781,502893
8116,A05-A14,Female,24908,502893
8116,A05-A14,Male,26228,502893
8116,A15-A34,Female,56892,502893
8116,A15-A34,Male,57749,502893
8116,A35-A59,Female,93391,502893
8116,A35-A59,Male,92541,502893
8116,A60-A79,Female,55003,502893
8116,A60-A79,Male,49348,502893
8116,A80+,Female,15636,502893
8116,A80+,Male,8574,502893
8117,A00-A04,Female,5110,247407
8117,A00-A04,Male,5089,247407
8117,A05-A14,Female,12240,247407
8117,A05-A14,Male,12932,247407
8117,A15-A34,Female,26948,247407
8117,A15-A34,Male,28566,247407
8117,A35-A59,Female,45104,247407
8117,A35-A59,Male,45292,247407
8117,A60-A79,Female,27764,247407
8117,A60-A79,Male,24880,247407
8117,A80+,Female,8973,247407
8117,A80+,Male,4509,247407
8118,A00-A04,Female,11532,509871
8118,A00-A04,Male,12122,509871
8118,A05-A14,Female,25392,509871
8118,A05-A14,Male,26731,509871
8118,A15-A34,Female,58812,509871
8118,A15-A34,Male,58917,509871
8118,A35-A59,Female,94627,509871
8118,A35-A59,Male,95211,509871
