id_county,name_county,age_group,gender,positive_tests,population,total_population_county
8111,SK Stuttgart,A00-A04,Male,17,13876,585890
8111,SK Stuttgart,A00-A04,Female,13,13379,585890
8111,SK Stuttgart,A05-A14,Male,66,25022,585890
8111,SK Stuttgart,A05-A14,Female,57,23824,585890
8111,SK Stuttgart,A15-A34,Male,383,84875,585890
8111,SK Stuttgart,A15-A34,Female,395,83798,585890
8111,SK Stuttgart,A35-A59,Male,381,102480,585890
8111,SK Stuttgart,A35-A59,Female,396,98820,585890
8111,SK Stuttgart,A60-A79,Male,135,51698,585890
8111,SK Stuttgart,A60-A79,Female,138,59204,585890
8111,SK Stuttgart,A80+,Male,48,9134,585890
8111,SK Stuttgart,A80+,Female,108,19780,585890
8115,LK Böblingen,A00-A04,Male,13,8605,363949
8115,LK Böblingen,A00-A04,Female,14,8257,363949
8115,LK Böblingen,A05-A14,Male,35,19770,363949
8115,LK Böblingen,A05-A14,Female,39,18270,363949
8115,LK Böblingen,A15-A34,Male,223,41700,363949
8115,LK Böblingen,A15-A34,Female,215,41581,363949
8115,LK Böblingen,A35-A59,Male,221,67795,363949
8115,LK Böblingen,A35-A59,Female,256,67506,363949
8115,LK Böblingen,A60-A79,Male,88,35032,363949
8115,LK Böblingen,A60-A79,Female,84,38898,363949
8115,LK Böblingen,A80+,Male,40,5808,363949
8115,LK Böblingen,A80+,Female,70,10727,363949
8116,LK Esslingen,A00-A04,Male,12,11781,502893
8116,LK Esslingen,A00-A04,Female,13,10842,502893
8116,LK Esslingen,A05-A14,Male,47,26228,502893
8116,LK Esslingen,A05-A14,Female,34,24908,502893
8116,LK Esslingen,A15-A34,Male,219,57749,502893
8116,LK Esslingen,A15-A34,Female,193,56892,502893
8116,LK Esslingen,A35-A59,Male,221,92541,502893
8116,LK Esslingen,A35-A59,Female,249,93391,502893
8116,LK Esslingen,A60-A79,Male,82,49348,502893
8116,LK Esslingen,A60-A79,Female,86,55003,502893
8116,LK Esslingen,A80+,Male,36,8574,502893
8116,LK Esslingen,A80+,Female,49,15636,502893
8117,LK Göppingen,A00-A04,Male,5,5089,247407
8117,LK Göppingen,A00-A04,Female,6,5110,247407
8117,LK Göppingen,A05-A14,Male,18,12932,247407
8117,LK Göppingen,A05-A14,Female,19,12240,247407
8117,LK Göppingen,A15-A34,Male,116,28566,247407
8117,LK Göppingen,A15-A34,Female,111,26948,247407
8117,LK Göppingen,A35-A59,Male,150,45292,247407
8117,LK Göppingen,A35-A59,Female,166,45104,247407
8117,LK Göppingen,A60-A79,Male,48,24880,247407
8117,LK Göppingen,A60-A79,Female,58,27764,247407
8117,LK Göppingen,A80+,Male,16,4509,247407
8117,LK Göppingen,A80+,Female,40,8973,247407
8118,LK Ludwigsburg,A00-A04,Male,11,12122,509871
8118,LK Ludwigsburg,A00-A04,Female,12,11532,509871
