id_county,name_county,age_group,gender,positive_tests
8111,SK Stuttgart,A00-A04,Male,17
8111,SK Stuttgart,A00-A04,Female,13
8111,SK Stuttgart,A05-A14,Male,66
8111,SK Stuttgart,A05-A14,Female,57
8111,SK Stuttgart,A15-A34,Male,383
8111,SK Stuttgart,A15-A34,Female,395
8111,SK Stuttgart,A35-A59,Male,381
8111,SK Stuttgart,A35-A59,Female,396
8111,SK Stuttgart,A60-A79,Male,135
8111,SK Stuttgart,A60-A79,Female,138
8111,SK Stuttgart,A80+,Male,48
8111,SK Stuttgart,A80+,Female,108
8115,LK Böblingen,A00-A04,Male,13
8115,LK Böblingen,A00-A04,Female,14
8115,LK Böblingen,A05-A14,Male,35
8115,LK Böblingen,A05-A14,Female,39
8115,LK Böblingen,A15-A34,Male,223
8115,LK Böblingen,A15-A34,Female,215
8115,LK Böblingen,A35-A59,Male,221
8115,LK Böblingen,A35-A59,Female,256
8115,LK Böblingen,A60-A79,Male,88
8115,LK Böblingen,A60-A79,Female,84
8115,LK Böblingen,A60-A79,unbekannt,1
8115,LK Böblingen,A80+,Male,40
8115,LK Böblingen,A80+,Female,70
8115,LK Böblingen,A80+,unbekannt,1
8116,LK Esslingen,A00-A04,Male,12
8116,LK Esslingen,A00-A04,Female,13
8116,LK Esslingen,A05-A14,Male,47
8116,LK Esslingen,A05-A14,Female,34
8116,LK Esslingen,A15-A34,Male,219
8116,LK Esslingen,A15-A34,Female,193
8116,LK Esslingen,A15-A34,unbekannt,10
8116,LK Esslingen,A35-A59,Male,221
8116,LK Esslingen,A35-A59,Female,249
8116,LK Esslingen,A35-A59,unbekannt,12
8116,LK Esslingen,A60-A79,Male,82
8116,LK Esslingen,A60-A79,Female,86
8116,LK Esslingen,A60-A79,unbekannt,3
8116,LK Esslingen,A80+,Male,36
8116,LK Esslingen,A80+,Female,49
8116,LK Esslingen,A80+,unbekannt,1
8116,LK Esslingen,unbekannt,Male,4
8116,LK Esslingen,unbekannt,Female,6
8116,LK Esslingen,unbekannt,unbekannt,2
8117,LK Göppingen,A00-A04,Male,5
8117,LK Göppingen,A00-A04,Female,6
8117,LK Göppingen,A00-A04,unbekannt,2
8117,LK Göppingen,A05-A14,Male,18
8117,LK Göppingen,A05-A14,Female,19
8117,LK Göppingen,A05-A14,unbekannt,6
8117,LK Göppingen,A15-A34,Male,116
8117,LK Göppingen,A15-A34,Female,111
8117,LK Göppingen,A15-A34,unbekannt,57
8117,LK Göppingen,A35-A59,Male,150
8117,LK Göppingen,A35-A59,Female,166
8117,LK Göppingen,A35-A59,unbekannt,44
8117,LK Göppingen,A60-A79,Male,48
8117,LK Göppingen,A60-A79,Female,58
8117,LK Göppingen,A60-A79,unbekannt,15
8117,LK Göppingen,A80+,Male,16
8117,LK Göppingen,A80+,Female,40
8117,LK Göppingen,A80+,unbekannt,1
8117,LK Göppingen,unbekannt,Male,4
8117,LK Göppingen,unbekannt,Female,4
8117,LK Göppingen,unbekannt,unbekannt,4
8118,LK Ludwigsburg,A00-A04,Male,11
8118,LK Ludwigsburg,A00-A04,Female,12
8118,LK Ludwigsburg,A05-A14,Male,53
8118,LK Ludwigsburg,A05-A14,Female,42
8118,LK Ludwigsburg,A15-A34,Male,264
8118,LK Ludwigsburg,A15-A34,Female,265
8118,LK Ludwigsburg,A35-A59,Male,323
8118,LK Ludwigsburg,A35-A59,Female,368
8118,LK Ludwigsburg,A60-A79,Male,112
8118,LK Ludwigsburg,A60-A79,Female,112
8118,LK Ludwigsburg,A80+,Male,33
8118,LK Ludwigsburg,A80+,Female,52
8119,LK Rems-Murr-Kreis,A00-A04,Male,10
8119,LK Rems-Murr-Kreis,A00-A04,Female,11
8119,LK Rems-Murr-Kreis,A05-A14,Male,54
8119,LK Rems-Murr-Kreis,A05-A14,Female,50
8119,LK Rems-Murr-Kreis,A15-A34,Male,229
8119,LK Rems-Murr-Kreis,A15-A34,Female,246
8119,LK Rems-Murr-Kreis,A15-A34,unbekannt,1
8119,LK Rems-Murr-Kreis,A35-A59,Male,303
8119,LK Rems-Murr-Kreis,A35-A59,Female,351
8119,LK Rems-Murr-Kreis,A60-A79,Male,112
8119,LK Rems-Murr-Kreis,A60-A79,Female,112
8119,LK Rems-Murr-Kreis,A80+,Male,27
8119,LK Rems-Murr-Kreis,A80+,Female,49
8121,SK Heilbronn,A00-A04,Male,10
8121,SK Heilbronn,A00-A04,Female,7
8121,SK Heilbronn,A05-A14,Male,31
8121,SK Heilbronn,A05-A14,Female,34
8121,SK Heilbronn,A15-A34,Male,96
8121,SK Heilbronn,A15-A34,Female,106
8121,SK Heilbronn,A35-A59,Male,110
8121,SK Heilbronn,A35-A59,Female,98
8121,SK Heilbronn,A35-A59,unbekannt,1
8121,SK Heilbronn,A60-A79,Male,42
8121,SK Heilbronn,A60-A79,Female,38
8121,SK Heilbronn,A60-A79,unbekannt,1
8121,SK Heilbronn,A80+,Male,9
8121,SK Heilbronn,A80+,Female,8
8121,SK Heilbronn,unbekannt,Female,1
8125,LK Heilbronn,A00-A04,Male,6
8125,LK Heilbronn,A00-A04,Female,11
8125,LK Heilbronn,A05-A14,Male,25
8125,LK Heilbronn,A05-A14,Female,41
8125,LK Heilbronn,A15-A34,Male,222
8125,LK Heilbronn,A15-A34,Female,172
8125,LK Heilbronn,A15-A34,unbekannt,2
8125,LK Heilbronn,A35-A59,Male,233
