,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
0,280,6394,2631,3763,0.5885204879574601,tt0112579,The Bridges of Madison County,1995,142.0,4.332023434343441e+72,7.6,71178
1,623,9108,7584,1524,0.1673254281949934,tt0179626,15 Minutes,2001,37.0,7.777777777777771e+127,6.1,47937
2,625,4401,4246,155,0.035219268348102704,tt0062622,2001: A Space Odyssey,1968,376.0,7.77773445757567e+52,8.3,587725
3,630,10132,9059,1073,0.1059020923805764,tt0307901,25th Hour,2002,19.0,7.777775254554341e+102,7.6,167856
4,633,9029,8163,866,0.09591316867870196,tt1019452,A Serious Man,2009,10.0,1.4567677715667702e+87,7.0,130750
5,640,6132,5253,879,0.14334637964774952,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,7.657566677777631e+89,6.3,23503
6,642,7844,6527,1317,0.16789903110657828,tt0094602,Above the Law,1988,40.0,7.77765775777264e+65,6.0,28081
7,647,6171,4679,1492,0.2417760492626803,tt0118571,Air Force One,1997,327.0,7.757753777600002e+102,6.5,176855
8,648,5484,3984,1500,0.2735229759299781,tt0080339,Airplane!,1980,269.0,4.4547463464434204e+73,7.7,208569
9,650,5842,4138,1704,0.29168093118794935,tt0083530,Airplane II: The Sequel,1982,,7.747777764645641e+91,6.2,48046
10,652,6237,5888,349,0.05595638928972262,tt0094631,Alien Nation,1988,53.0,7.77777777777777e+52,6.3,13895
11,653,9001,8144,857,0.09521164315076103,tt0248667,Ali,2001,89.0,7.777777777775343e+99,6.8,92426
12,664,12288,10022,2266,0.18440755208333334,tt0086879,Amadeus,1984,,7.777743343677772e+173,8.3,360958
13,665,9039,8100,939,0.10388317291735812,tt0765429,American Gangster,2007,164.0,7.777777777774451e+103,7.8,383635
14,666,9874,7255,2619,0.2652420498278307,tt0069704,American Graffiti,1973,565.0,7.776543757777761e+140,7.4,80158
15,674,6316,5018,1298,0.20550981633945536,tt0082010,An American Werewolf in London,1981,,7.777764654767572e+110,7.5,89495
16,676,5151,3003,2148,0.41700640652300525,tt0118617,Anastasia,1997,110.0,4.61277777777777e+45,7.2,109276
17,678,12842,12083,759,0.05910294346674973,tt0289848,Analyze That,2002,48.0,7.777774545777772e+145,5.9,81379
18,682,13136,8994,4142,0.3153166869671133,tt0075686,Annie Hall,1977,152.0,7.457777443555562e+160,8.0,248227
19,697,10118,8977,1141,0.11276932200039534,tt0118647,The Assignment,1997,1.0,7.777777577775572e+86,6.9,8722
20,698,5493,3779,1714,0.3120334971782268,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,7.577567746764361e+78,7.0,217709
21,699,4434,3494,940,0.2119981957600361,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,351.0,3.56764577765443e+70,6.6,213497
22,701,8783,4878,3905,0.4446089035637026,tt0053619,L'Avventura,1960,,3.4205422333572305e+97,7.9,25664
23,706,11920,9503,2417,0.20276845637583893,tt0099077,Awakenings,1990,107.0,7.777674774577751e+87,7.8,120720
24,707,4621,3666,955,0.20666522397749404,tt0086927,Bachelor Party,1984,99.0,2.5666777777600006e+85,6.3,34913
25,708,11905,8772,3133,0.2631667366652667,tt0112442,Bad Boys,1995,131.0,7.665345566675352e+118,6.9,235411
26,712,4294,3072,1222,0.2845831392640894,tt0103759,Bad Lieutenant,1992,4.0,742124367617427.0,7.1,37816
27,714,11467,9632,1835,0.16002441789482863,tt0215545,Bamboozled,2000,3.0,7.777567774346471e+110,6.5,10255
28,715,9900,9395,505,0.05101010101010101,tt0101410,Barton Fink,1991,12.0,6.457777777777771e+101,7.7,110892
29,716,20593,18508,2085,0.10124799689214782,tt0072684,Barry Lyndon,1975,,7.64434655677777e+100,8.1,145263
30,718,7551,4871,2680,0.35491987816183285,tt0103772,Basic Instinct,1992,247.0,7.777444234467561e+106,7.0,170113
31,722,7466,6278,1188,0.15912135012054648,tt0103776,Batman Returns,1992,341.0,6.557554777754461e+61,7.0,268982
32,725,3751,2615,1136,0.30285257264729404,tt0096895,Batman,1989,550.0,7.747763476646543e+60,7.5,332285
33,726,10809,9204,1605,0.14848737163474882,tt0163978,The Beach,2000,64.0,7.677775476765671e+88,6.7,219319
